Sample_ID';Sample_name;Genotype;Genotype2;Compartment;Soil;State;State2;Experiment
En-28;UBS02_4_Endosphere;UBS02;UBS02;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-29;UBS02_1_Rhizosphere;UBS02;UBS02;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-30;UBS02_2_Rhizosphere;UBS02;UBS02;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-31;UBS02_3_Rhizosphere;UBS02;UBS02;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-32;UBS02_4_Rhizosphere;UBS02;UBS02;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-33;UBS02_1_Nodule;UBS02;UBS02;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-34;UBS02_2_Nodule;UBS02;UBS02;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-35;UBS02_3_Nodule;UBS02;UBS02;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-36;UBS02_4_Nodule;UBS02;UBS02;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-37;UCS04_1_Endosphere;UCS04;UCS04;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-38;UCS04_2_Endosphere;UCS04;UCS04;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-39;UCS04_3_Endosphere;UCS04;UCS04;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-40;UCS04_4_Endosphere;UCS04;UCS04;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-41;UCS04_1_Rhizosphere;UCS04;UCS04;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-42;UCS04_2_Rhizosphere;UCS04;UCS04;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-43;UCS04_3_Rhizosphere;UCS04;UCS04;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-44;UCS04_4_Rhizosphere;UCS04;UCS04;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-45;UCS04_1_Nodule;UCS04;UCS04;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-46;UCS04_2_Nodule;UCS04;UCS04;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-47;UCS04_3_Nodule;UCS04;UCS04;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-48;UCS04_4_Nodule;UCS04;UCS04;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-49;UDS03_1_Endosphere;UDS03;UDS03;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-50;UDS03_2_Endosphere;UDS03;UDS03;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-51;UDS03_3_Endosphere;UDS03;UDS03;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-52;UDS03_4_Endosphere;UDS03;UDS03;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-53;UDS03_1_Rhizosphere;UDS03;UDS03;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-54;UDS03_2_Rhizosphere;UDS03;UDS03;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-55;UDS03_3_Rhizosphere;UDS03;UDS03;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
Rh-56;UDS03_4_Rhizosphere;UDS03;UDS03;Rhizosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-57;UDS03_1_Nodule;UDS03;UDS03;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-58;UDS03_2_Nodule;UDS03;UDS03;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-59;UDS03_3_Nodule;UDS03;UDS03;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
No-60;UDS03_4_Nodule;UDS03;UDS03;Nodule;Utobara;Ref_Alt;Alt;HAPLOTYPE
