SampleID	Sample number	Genotype_compartment	Genotype_compartment_inoculum	Genotype	Inoculum	Bio_rep	Cluster
MG129_1	123	MG129_RZ	MG129_RZ_SC	MG129	SC	one	three
MG130_1	124	MG130_RZ	MG130_RZ_SC	MG130	SC	one	three
MG131_1	125	MG131_RZ	MG131_RZ_SC	MG131	SC	one	three
MG132_1	126	MG132_RZ	MG132_RZ_SC	MG132	SC	one	three
MG133_1	127	MG133_RZ	MG133_RZ_SC	MG133	SC	one	three
MG134_1	128	MG134_RZ	MG134_RZ_SC	MG134	SC	one	three
MG135_1	129	MG135_RZ	MG135_RZ_SC	MG135	SC	one	three
MG136_1	130	MG136_RZ	MG136_RZ_SC	MG136	SC	one	zero
MG137_1	131	MG137_RZ	MG137_RZ_SC	MG137	SC	one	three
MG138_1	132	MG138_RZ	MG138_RZ_SC	MG138	SC	one	zero
MG139_1	133	MG139_RZ	MG139_RZ_SC	MG139	SC	one	three
MG140_1	134	MG140_RZ	MG140_RZ_SC	MG140	SC	one	three
MG141_1	135	MG141_RZ	MG141_RZ_SC	MG141	SC	one	three
MG142_1	136	MG142_RZ	MG142_RZ_SC	MG142	SC	one	three
MG143_1	137	MG143_RZ	MG143_RZ_SC	MG143	SC	one	three
MG144_1	138	MG144_RZ	MG144_RZ_SC	MG144	SC	one	three
MG145_1	139	MG145_RZ	MG145_RZ_SC	MG145	SC	one	three
MG146_1	140	MG146_RZ	MG146_RZ_SC	MG146	SC	one	three
MG148_1	141	MG148_RZ	MG148_RZ_SC	MG148	SC	one	three
MG149_1	142	MG149_RZ	MG149_RZ_SC	MG149	SC	one	three
MG150_1	143	MG150_RZ	MG150_RZ_SC	MG150	SC	one	three
MG151_1	144	MG151_RZ	MG151_RZ_SC	MG151	SC	one	zero
MG152_1	145	MG152_RZ	MG152_RZ_SC	MG152	SC	one	zero
MG154_1	146	MG154_RZ	MG154_RZ_SC	MG154	SC	one	three
MG156_1	147	MG156_RZ	MG156_RZ_SC	MG156	SC	one	three
MG162_1	148	MG162_RZ	MG162_RZ_SC	MG162	SC	one	three
MG163_1	149	MG163_RZ	MG163_RZ_SC	MG163	SC	one	three
MG170_1	150	MG170_RZ	MG170_RZ_SC	MG170	SC	one	three
MG172_1	151	MG172_RZ	MG172_RZ_SC	MG172	SC	one	three
MG176_1	152	MG176_RZ	MG176_RZ_SC	MG176	SC	one	three
MG187_1	153	MG187_RZ	MG187_RZ_SC	MG187	SC	one	three
MG188_1	154	MG188_RZ	MG188_RZ_SC	MG188	SC	one	three
MG196_1	155	MG196_RZ	MG196_RZ_SC	MG196	SC	one	three
